cid	uid	sessionid	qid	dqid	aid	qaction_seqid	log_ts	a_detail
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	18	BC61DE9D-5F09-72F6-6F10-CA29636E2442	4	83	1584246357	{"level":6,"stage":3,"targetsLeft":2,"knivesThrown":147,"time":115.98333333333,"levelTime":32.549999999999,"levelKnivesThrown":60,"throwerSpeed":225,"skipOffered":true}
7	D1857682-FC7C-931D-5884-B721784BFE9D	D8601178-7196-443E-507B-2C2365E51AEC	18	BC61DE9D-5F09-72F6-6F10-CA29636E2442	4	83	1584246357	{"level":6,"stage":3,"targetsLeft":2,"knivesThrown":147,"time":115.98333333333,"levelTime":32.549999999999,"levelKnivesThrown":60,"throwerSpeed":225,"skipOffered":true}
8	CBF07967-DD45-0C71-EF14-899202D29FA8	9061F322-8406-1B2D-490B-5B802B76962C	5	AC56282F-7166-BEF8-38C1-2B79AC758CCA	4	33	1584246604	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":32,"time":41.083333333332,"levelTime":28.9,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	CBF07967-DD45-0C71-EF14-899202D29FA8	9061F322-8406-1B2D-490B-5B802B76962C	5	AC56282F-7166-BEF8-38C1-2B79AC758CCA	4	33	1584246604	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":32,"time":41.083333333332,"levelTime":28.9,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	CBF07967-DD45-0C71-EF14-899202D29FA8	9061F322-8406-1B2D-490B-5B802B76962C	11	115A1E17-7B8E-C9EA-7FED-E8A156E78CAD	4	62	1584246678	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":61,"time":25.633333333333,"levelTime":20,"levelKnivesThrown":58,"throwerSpeed":225,"skipOffered":true}
8	CBF07967-DD45-0C71-EF14-899202D29FA8	9061F322-8406-1B2D-490B-5B802B76962C	11	115A1E17-7B8E-C9EA-7FED-E8A156E78CAD	4	62	1584246678	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":61,"time":25.633333333333,"levelTime":20,"levelKnivesThrown":58,"throwerSpeed":225,"skipOffered":true}
8	4E31B531-3DF0-E09C-0D96-092CF57D5733	E5868B7E-7306-8A04-6897-B2B2BBE876B9	17	1F39AC26-3E34-3D18-D13C-E9356291A943	4	92	1584247144	{"level":6,"stage":2,"targetsLeft":1,"knivesThrown":103,"time":96.883333333329,"levelTime":84.566666666663,"levelKnivesThrown":60,"throwerSpeed":225,"skipOffered":true}
8	4E31B531-3DF0-E09C-0D96-092CF57D5733	E5868B7E-7306-8A04-6897-B2B2BBE876B9	17	1F39AC26-3E34-3D18-D13C-E9356291A943	5	97	1584247148	{"level":6,"stage":2,"targetsLeft":1,"knivesThrown":105,"time":100.95,"levelTime":88.63333333333,"levelKnivesThrown":62,"throwerSpeed":225,"skipOffered":true,"skipped":true}
8	1827C5A5-358E-530F-BF7A-AB3C2A616A2B	78A63B47-18FB-502F-3CF8-87D4EA6A1EE7	12	A4D47482-0AC7-2C5F-C5BC-7C8ADA268B10	4	37	1584247163	{"level":4,"stage":3,"targetsLeft":1,"knivesThrown":44,"time":60.949999999998,"levelTime":33.633333333333,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	1827C5A5-358E-530F-BF7A-AB3C2A616A2B	78A63B47-18FB-502F-3CF8-87D4EA6A1EE7	12	A4D47482-0AC7-2C5F-C5BC-7C8ADA268B10	5	40	1584247164	{"level":4,"stage":3,"targetsLeft":1,"knivesThrown":45,"time":64.466666666664,"levelTime":37.149999999999,"levelKnivesThrown":26,"throwerSpeed":225,"skipOffered":true,"skipped":true}
8	DA0A577D-D122-6853-2D13-AF060EEAB713	68293A52-0A4D-EB4A-6B89-27BD6353823F	5	B69B7D5A-2BB9-B193-F6DB-FD80AE212D45	4	32	1584247517	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":41,"time":49.233333333332,"levelTime":28.083333333333,"levelKnivesThrown":25,"throwerSpeed":210,"skipOffered":true}
8	DA0A577D-D122-6853-2D13-AF060EEAB713	68293A52-0A4D-EB4A-6B89-27BD6353823F	5	B69B7D5A-2BB9-B193-F6DB-FD80AE212D45	4	32	1584247517	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":41,"time":49.233333333332,"levelTime":28.083333333333,"levelKnivesThrown":25,"throwerSpeed":210,"skipOffered":true}
8	DA0A577D-D122-6853-2D13-AF060EEAB713	68293A52-0A4D-EB4A-6B89-27BD6353823F	8	A72E888F-B12B-29CE-2E42-F516C347BC02	4	34	1584247572	{"level":3,"stage":2,"targetsLeft":1,"knivesThrown":49,"time":34.166666666666,"levelTime":20.266666666667,"levelKnivesThrown":30,"throwerSpeed":218,"skipOffered":true}
8	DA0A577D-D122-6853-2D13-AF060EEAB713	68293A52-0A4D-EB4A-6B89-27BD6353823F	8	A72E888F-B12B-29CE-2E42-F516C347BC02	4	34	1584247572	{"level":3,"stage":2,"targetsLeft":1,"knivesThrown":49,"time":34.166666666666,"levelTime":20.266666666667,"levelKnivesThrown":30,"throwerSpeed":218,"skipOffered":true}
8	DA0A577D-D122-6853-2D13-AF060EEAB713	68293A52-0A4D-EB4A-6B89-27BD6353823F	12	72B8EC29-B15A-996F-0ED6-9FAFB756F65A	4	40	1584247630	{"level":4,"stage":3,"targetsLeft":1,"knivesThrown":59,"time":41.249999999999,"levelTime":20.516666666667,"levelKnivesThrown":36,"throwerSpeed":201,"skipOffered":true}
8	1827C5A5-358E-530F-BF7A-AB3C2A616A2B	78A63B47-18FB-502F-3CF8-87D4EA6A1EE7	23	9452A715-1437-6EC8-D36F-4D7E74890EFB	4	58	1584247699	{"level":7,"stage":3,"targetsLeft":1,"knivesThrown":59,"time":85.116666666663,"levelTime":63.416666666664,"levelKnivesThrown":45,"throwerSpeed":225,"skipOffered":true}
8	59D8604D-AE6B-3A94-2871-3C17D335A1B0	8948EAC4-7676-15E8-E312-EF3AB55D396C	9	72566876-AC84-AE4C-7ECE-B34304710AF6	4	26	1584250971	{"level":3,"stage":3,"targetsLeft":1,"knivesThrown":34,"time":36.516666666666,"levelTime":20.083333333333,"levelKnivesThrown":21,"throwerSpeed":225,"skipOffered":true}
8	59D8604D-AE6B-3A94-2871-3C17D335A1B0	8948EAC4-7676-15E8-E312-EF3AB55D396C	9	72566876-AC84-AE4C-7ECE-B34304710AF6	4	26	1584250971	{"level":3,"stage":3,"targetsLeft":1,"knivesThrown":34,"time":36.516666666666,"levelTime":20.083333333333,"levelKnivesThrown":21,"throwerSpeed":225,"skipOffered":true}
8	CF15DF59-416D-B0EC-987A-A72B1D4E8C38	DBBAE5F3-4A51-D02D-BB39-0EF6E8EBCCE5	5	4C64C2AA-85E3-C633-6D5E-4013090887EF	4	34	1584251011	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":47,"time":59.566666666665,"levelTime":36.249999999999,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	CF15DF59-416D-B0EC-987A-A72B1D4E8C38	DBBAE5F3-4A51-D02D-BB39-0EF6E8EBCCE5	5	4C64C2AA-85E3-C633-6D5E-4013090887EF	4	34	1584251011	{"level":2,"stage":2,"targetsLeft":1,"knivesThrown":47,"time":59.566666666665,"levelTime":36.249999999999,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	59D8604D-AE6B-3A94-2871-3C17D335A1B0	8948EAC4-7676-15E8-E312-EF3AB55D396C	18	8690D680-0700-F7AD-A0F6-8D18199BB002	4	127	1584251079	{"level":6,"stage":3,"targetsLeft":1,"knivesThrown":198,"time":43.866666666665,"levelTime":20.483333333333,"levelKnivesThrown":91,"throwerSpeed":225,"skipOffered":true}
8	59D8604D-AE6B-3A94-2871-3C17D335A1B0	8948EAC4-7676-15E8-E312-EF3AB55D396C	23	481D6858-C176-88CE-B3A8-3594C7073A12	4	94	1584251181	{"level":7,"stage":3,"targetsLeft":1,"knivesThrown":118,"time":34.199999999999,"levelTime":20.4,"levelKnivesThrown":86,"throwerSpeed":225,"skipOffered":true}
8	59D8604D-AE6B-3A94-2871-3C17D335A1B0	8948EAC4-7676-15E8-E312-EF3AB55D396C	23	481D6858-C176-88CE-B3A8-3594C7073A12	4	94	1584251181	{"level":7,"stage":3,"targetsLeft":1,"knivesThrown":118,"time":34.199999999999,"levelTime":20.4,"levelKnivesThrown":86,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	4	766125BA-FD9D-D1E4-CB43-8361CA8A36AB	4	32	1584251383	{"level":2,"stage":1,"targetsLeft":2,"knivesThrown":25,"time":20.166666666667,"levelTime":20.166666666667,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	4	766125BA-FD9D-D1E4-CB43-8361CA8A36AB	4	32	1584251383	{"level":2,"stage":1,"targetsLeft":2,"knivesThrown":25,"time":20.166666666667,"levelTime":20.166666666667,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	6	B6EE5484-498E-54EA-29D6-F2AC372EFFBD	4	41	1584251422	{"level":2,"stage":3,"targetsLeft":3,"knivesThrown":98,"time":58.583333333331,"levelTime":20.016666666667,"levelKnivesThrown":38,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	6	B6EE5484-498E-54EA-29D6-F2AC372EFFBD	4	41	1584251422	{"level":2,"stage":3,"targetsLeft":3,"knivesThrown":98,"time":58.583333333331,"levelTime":20.016666666667,"levelKnivesThrown":38,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	7	6DC29731-0F73-40B6-D735-06599B080037	4	23	1584251474	{"level":3,"stage":1,"targetsLeft":1,"knivesThrown":20,"time":24.466666666667,"levelTime":24.466666666667,"levelKnivesThrown":20,"throwerSpeed":225,"skipOffered":true}
7	FBED605A-6124-3844-1C9B-30719009EE01	F88F1065-DB73-0B53-B3F3-7A82F27F635D	7	6DC29731-0F73-40B6-D735-06599B080037	4	23	1584251474	{"level":3,"stage":1,"targetsLeft":1,"knivesThrown":20,"time":24.466666666667,"levelTime":24.466666666667,"levelKnivesThrown":20,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	6	E118490D-7156-C7B0-6DC5-8643CCE747FE	4	36	1584252171	{"level":2,"stage":3,"targetsLeft":1,"knivesThrown":53,"time":71.716666666664,"levelTime":39.366666666666,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	6	E118490D-7156-C7B0-6DC5-8643CCE747FE	4	36	1584252171	{"level":2,"stage":3,"targetsLeft":1,"knivesThrown":53,"time":71.716666666664,"levelTime":39.366666666666,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	11	E39E4B62-AA02-9AFD-A32E-6D661DB9FDFA	4	29	1584252301	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":29,"time":77.58333333333,"levelTime":70.333333333331,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	11	E39E4B62-AA02-9AFD-A32E-6D661DB9FDFA	4	29	1584252301	{"level":4,"stage":2,"targetsLeft":1,"knivesThrown":29,"time":77.58333333333,"levelTime":70.333333333331,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	12	6203C53E-A840-07C0-63C5-FCC1E3EDE5D3	4	34	1584252335	{"level":4,"stage":3,"targetsLeft":1,"knivesThrown":56,"time":112.99999999999,"levelTime":32.849999999999,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	12	6203C53E-A840-07C0-63C5-FCC1E3EDE5D3	4	34	1584252335	{"level":4,"stage":3,"targetsLeft":1,"knivesThrown":56,"time":112.99999999999,"levelTime":32.849999999999,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	22	8569AC32-3B44-2075-222C-677E5C414278	4	50	1584252534	{"level":7,"stage":2,"targetsLeft":1,"knivesThrown":79,"time":37.133333333333,"levelTime":24.433333333333,"levelKnivesThrown":45,"throwerSpeed":225,"skipOffered":true}
8	3A4A652D-AE76-4DF3-F3B1-4644D842CF92	9B4F863D-7608-2E22-1D1F-AA1033498B28	22	8569AC32-3B44-2075-222C-677E5C414278	5	56	1584252534	{"level":7,"stage":2,"targetsLeft":1,"knivesThrown":83,"time":39.233333333332,"levelTime":26.533333333333,"levelKnivesThrown":49,"throwerSpeed":225,"skipOffered":true,"skipped":true}
7	E6DC0DBF-2DF6-54F5-7413-050F90B46CBF	329D0044-2ABF-41F3-C327-2298390DA10E	15	FE1AA1EF-D610-A2DD-1B42-3F14F7549C72	4	40	1584252973	{"level":5,"stage":3,"targetsLeft":1,"knivesThrown":53,"time":68.316666666664,"levelTime":26.45,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	F1910313-2E06-AFED-7C99-B284E600F2C0	B78B1036-5A9A-97C4-2990-791AC658276E	4	2DE748CB-908B-63E2-652B-915B161DB73D	4	31	1584253350	{"level":2,"stage":1,"targetsLeft":1,"knivesThrown":25,"time":23.15,"levelTime":23.15,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	F1910313-2E06-AFED-7C99-B284E600F2C0	B78B1036-5A9A-97C4-2990-791AC658276E	4	2DE748CB-908B-63E2-652B-915B161DB73D	4	31	1584253350	{"level":2,"stage":1,"targetsLeft":1,"knivesThrown":25,"time":23.15,"levelTime":23.15,"levelKnivesThrown":25,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	9	5A13EF39-FC1D-8D41-4019-21377B6122C7	4	25	1584254122	{"level":3,"stage":3,"targetsLeft":2,"knivesThrown":32,"time":37.933333333332,"levelTime":20.033333333333,"levelKnivesThrown":21,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	9	5A13EF39-FC1D-8D41-4019-21377B6122C7	4	25	1584254122	{"level":3,"stage":3,"targetsLeft":2,"knivesThrown":32,"time":37.933333333332,"levelTime":20.033333333333,"levelKnivesThrown":21,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	17	8792BA53-CA83-5464-0813-CD42E770F273	4	80	1584254294	{"level":6,"stage":2,"targetsLeft":2,"knivesThrown":111,"time":40.466666666666,"levelTime":31.35,"levelKnivesThrown":60,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	17	8792BA53-CA83-5464-0813-CD42E770F273	5	165	1584254329	{"level":6,"stage":2,"targetsLeft":1,"knivesThrown":176,"time":74.98333333333,"levelTime":65.866666666664,"levelKnivesThrown":125,"throwerSpeed":225,"skipOffered":true,"skipped":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	22	309517E2-46ED-9718-1B62-94E8EB6C791F	4	52	1584254405	{"level":7,"stage":2,"targetsLeft":1,"knivesThrown":79,"time":72.349999999997,"levelTime":48.599999999999,"levelKnivesThrown":45,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	22	309517E2-46ED-9718-1B62-94E8EB6C791F	4	52	1584254405	{"level":7,"stage":2,"targetsLeft":1,"knivesThrown":79,"time":72.349999999997,"levelTime":48.599999999999,"levelKnivesThrown":45,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	23	97260C22-8D17-1EFA-B2C7-B90785AEC055	4	50	1584254554	{"level":7,"stage":3,"targetsLeft":1,"knivesThrown":229,"time":218.20000000007,"levelTime":60.283333333331,"levelKnivesThrown":45,"throwerSpeed":225,"skipOffered":true}
7	74A3C5C7-A7C4-0570-9420-DFFC2757881D	CD719B9C-F711-24BA-7863-805B37842A6D	23	97260C22-8D17-1EFA-B2C7-B90785AEC055	5	131	1584254605	{"level":7,"stage":3,"targetsLeft":1,"knivesThrown":299,"time":268.61666666675,"levelTime":110.7,"levelKnivesThrown":115,"throwerSpeed":225,"skipOffered":true,"skipped":true}
