cid	uid	sessionid	log_ts
1	606B5333-B5F7-A962-C964-E8EE8B628A95	A73920EB-791A-1174-05EC-8C24392AF005	1582509687
1	16EF1D82-445B-EBBE-E67D-9131319E366B	EF93361F-E8A4-3046-2EBA-391B2614849B	1582510122
1	16EF1D82-445B-EBBE-E67D-9131319E366B	D965B7CA-8CE9-46D6-B4CD-FB4BA8EDE8CD	1582510276
1	16EF1D82-445B-EBBE-E67D-9131319E366B	40A37D24-D8DD-1C92-F198-1201B66D6281	1582510525
1	16EF1D82-445B-EBBE-E67D-9131319E366B	6715EBB1-E384-ACC7-EDF8-BB9216A786DF	1582510699
1	16EF1D82-445B-EBBE-E67D-9131319E366B	52429E30-BB90-B275-1852-2162E90D6C00	1582510787
1	16EF1D82-445B-EBBE-E67D-9131319E366B	0A79EDA0-399F-8A51-3C27-B65071800644	1582510835
1	16EF1D82-445B-EBBE-E67D-9131319E366B	EE4A839E-3F99-C1A1-18EF-2FFBB8DE07F0	1582510868
1	16EF1D82-445B-EBBE-E67D-9131319E366B	E6C5C431-B5E3-59B6-2637-CE3893D507AA	1582511057
1	16EF1D82-445B-EBBE-E67D-9131319E366B	D1127662-04CD-95E4-3207-AF1E919655B8	1582511112
1	16EF1D82-445B-EBBE-E67D-9131319E366B	EE077FED-1282-EA99-BB11-01D637582074	1582511236
1	16EF1D82-445B-EBBE-E67D-9131319E366B	6522E76E-2631-B6E5-A8A5-6C68CDC6B6D7	1582511338
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	B88460E3-E603-C5F0-5A48-8382BE3A7A3B	1582530553
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	2EB632E6-2EBB-561B-B9C7-1BCB6C4FF921	1582530897
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	1D95E9BC-9586-D229-9826-ADF363DA49BA	1582532616
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	1EE0E7B5-4B94-EADD-A154-5AE219330601	1582532965
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	2789FAAD-A130-AF9C-A33D-0847951C3FDF	1582533042
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	1F2331C6-7A7C-E68E-8E9E-2CD35A6E841C	1582533449
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	6FFC1DE0-FFA7-ECD1-5EEF-108F819EE951	1582533743
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	F0B497D3-1259-71A2-28A3-497C0CD2C397	1582534851
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	A6084B03-186D-1549-A44E-D6A9555E662A	1582534952
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	F298E19E-E08F-5C59-2637-16313F6B2ECC	1582535020
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	2FD081AB-1C6F-EFF3-B449-CB3E3F6D2015	1582535093
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	5AF3066B-3202-AC76-E838-4ABCF55F4121	1582535265
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	6410F04F-6139-7850-8A44-FF3E57BA6B55	1582535357
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	62A8990E-2E99-F741-39BC-D2CC2D852805	1582535428
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	A526F5FD-1FA3-77AC-CF7A-5C27E8416FD5	1582536342
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	8CB9C1AF-4F63-BF39-5FC5-532AD9B3F354	1582537557
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	B317AF50-9915-2DCD-6B96-043B3B857BA4	1582537987
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	40E05864-A69F-6080-F69A-DA9EDD43AA86	1582538357
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	CF68DF34-049F-BCAB-A26D-09E580F3CBCE	1582539350
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	2EF495B3-C6BC-B0AD-B484-8B9327F42A20	1582539671
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	3CFB5073-D999-5019-EF81-D2284A24570D	1582539757
